sentence,snippets,target,sentiment_score,aspects,format,label
Standard Chartered Shifts Emerging-Markets Strategy After Losses,['Shifts Emerging-Markets Strategy'],Standard Chartered,-0.461,['Corporate/Strategy'],headline,Negative
AstraZeneca's patent on asthma drug invalidated by US court,['invalidated by US court'],AstraZeneca,-0.656,['Corporate/Legal'],headline,Negative
Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,['tumbles on Q1 warning'],JNPR,-0.556,['Corporate/Financial/Financial Results/Earnings/Profit Warning'],post,Negative
"$KO had missed earnings expectations for the last two quarters, so todayâs strong results came as a major surprise http://stks.co/d0RHF",['so todayâs strong results came as a major surprise'],KO,0.338,['Corporate/Financial/Financial Results/Earnings/Earnings Beat'],post,Positive
"European shares plunge, roiled by BHP and oil; hopes turn to ECB","['shares plunge,']",BHP,-0.736,['Economy/Central Banks/?'],headline,Negative
AstraZeneca share price: Acerta deal pays off with orphan drug status,['share price: Acerta deal pays off'],AstraZeneca,0.495,['Corporate/M&A'],headline,Positive
$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,['Stock Receives Ratings Downgrade'],DDD,-0.501,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
Slump in Weir leads FTSE down from record high,['down from record high'],Weir,-0.827,['Market/Volatility/Volatility'],headline,Negative
Valeant CEO Pledges to Heed Critics After `Painful' Experience,['Heed Critics After `Painful' Experience'],Valeant,-0.381,['Corporate/Company Communication'],headline,Negative
Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,['received a Buy rating'],FB,0.456,['Stock/Coverage/AnalystRatings/Upgrade'],post,Positive
@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,['chart shows distinctive down channel'],SPY,-0.443,['Stock/Technical Analysis'],post,Negative
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,['Merger Came Together in Speedy 10 Weeks'],Kraft,0.214,['Corporate/M&A/M&A'],headline,Neutral
Rio Tinto CEO says iron ore market at equilibrium,['iron ore market at equilibrium'],Rio Tinto,0.0,['Market/Market'],headline,Neutral
"Long Position on $GOL,...Updating http://stks.co/fdmm",['Long Position'],GOL,0.674,['Stock/Price Action/Bullish/Bull Position'],post,Positive
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""","['ales exceed target, profitability guidance amended upward']",TSLA,0.526,['Corporate/Sales'],post,Positive
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,['confirms CEO appointment'],Morrissons,0.078,['Corporate/Appointment'],headline,Neutral
Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,['Indicator signaled a Oversold'],FB,0.324,['Stock/Price Action/Current Price/Oversold'],post,Positive
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,['picks Standard Bank's Hemphill as new CEO'],Standard Bank,0.025,['Corporate/Appointment/Executive Appointment'],headline,Neutral
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,['Closed short position. Small gain.'],PLUG,0.143,['Stock/Price Action/Volatility/Short Selling'],post,Neutral
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,['making the big added efficiency argument. betting on operational imporvement in a huge conglomerate'],PG,0.116,['Corporate/Strategy/Business Model'],post,Neutral
"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today","['we saw a large order in this one last week, someone also accumulating']",ENDP,0.613,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",['Trendline and Resistance'],QCOM,-0.371,['Stock/Technical Analysis/Trend'],post,Negative
RBS will reportedly appoint Howard Davies as its next chairman,['reportedly appoint Howard Davies as its next chairman'],RBS,0.089,['Corporate/Appointment'],headline,Neutral
"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",['finally breaking under'],AAPL,-0.2,['Stock/Price Action/Bearish/Bearish Behavior'],post,Neutral
$NVDA sideways,['sideways'],NVDA,0.0,['Stock/Price Action'],post,Neutral
for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,['SELL signal by $NDX internals'],QQQ,-0.541,['Stock/Signal/Sell Signal'],post,Negative
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,['lifts profits 38%'],Friends Life,0.387,['Corporate/Financial/Financial Results/Earnings'],headline,Positive
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,['Most bullish stocks on Twitter during this dip'],YHOO,0.408,['Stock/Price Action/Bullish'],post,Positive
Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,['Week made in a morning.'],FB,0.471,['Stock/Price Action/Bullish'],post,Positive
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,['After Settling With Lehman Bros Trustee'],Barclays,0.199,['Corporate/Legal'],headline,Neutral
$LINE biggies must be loading up here at lows..,['biggies must be loading up here at lows..'],LINE,0.438,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,['slid to a four-year low'],WTI,-0.369,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
"$AXDX I got bored, and took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.","[""took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.""]",AXDX,-0.334,['Stock/Price Action/Bearish'],post,Negative
Diageo sales disappoint as currency and comparatives leave bitter taste,['sales disappoint'],Diageo,-0.545,['Corporate/Sales'],headline,Negative
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,['form Joint Venture Limited Liability Company to Purchase ..'],Kinder Morgan,0.225,['Corporate/M&A/Joint Venture'],headline,Neutral
$SBUX getting sold here.,['getting sold here.'],SBUX,-0.551,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Long $TSLA short $MBLY https://t.co/jSpUSzo6na,['ong $TSLA short $MBLY'],TSLA,0.607,['Stock/Price Action'],post,Positive
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,['evenue growing over 30%'],MSFT,0.454,['Corporate/Sales'],post,Positive
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,['AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK'],Daiichi Sankyo,0.361,['Corporate/Sales/Partnership'],headline,Positive
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,['Price experiencing early rejection'],LNKD,-0.228,['Stock/Price Action/Bearish'],post,Neutral
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,['near a 3% drop thats a lot'],AAPL,-0.304,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,['still having some trouble at the resistance line'],UBNT,0.071,['Stock/Price Action'],post,Neutral
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),['Set To Reinstate Dividend '],Balfour Beatty plc,0.413,['Corporate/Dividend Policy'],headline,Positive
Arm slammed by handset sales outlook,['sales outlook'],Arm,-0.41,['Corporate/Sales'],headline,Negative
G4S slides on balance sheet worries,['slides on balance sheet worries'],G4S,-0.593,['Corporate/Risks'],headline,Negative
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",['Increases Quarterly Cash Dividend'],QCOR,0.576,['Corporate/Dividend Policy'],post,Positive
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,['a parser buy signal'],CTRP,0.418,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
Ruling sets lower limit on potential fine for BP,['lower limit on potential fine for BP'],BP,-0.261,['Corporate/Legal'],headline,Neutral
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,['Partners With International Business Machines Corp. To Drive'],ARM Holdings,0.273,['Corporate/Strategy'],headline,Neutral
$AEGN MACD and ADX are crossing over the signal lines! Long Setup http://stks.co/qzzx,['MACD and ADX are crossing over the signal lines! Long Setup'],AEGN,0.569,['Stock/Signal/Buy Signal'],post,Positive
"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",['bullish story intact'],IMRS,0.4,['Stock/Price Action/Bullish'],post,Positive
$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,['Can go much higher if it can break above'],UUP,0.171,['Stock/Price Action/Bullish/Bullish Behavior'],post,Neutral
Tesco share price closes higher as two more directors leave grocer,['share price closes higher'],Tesco,0.354,['Stock/Price Action'],headline,Positive
TripAdvisor jumps on M&A rumors https://t.co/O4lwCDXMbr $TRIP,['jumps on M&A rumors'],TRIP,0.47,['Corporate/M&A'],post,Positive
Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,['That has to be the pressure on the stock'],AAPL,0.222,['Stock/Price Action/Bearish'],post,Neutral
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,['Legal & General arm buys 50 pct stake in MediaCityUK'],MediaCityUK,0.379,['Stock/Signal/Buy Signal'],headline,Positive
AstraZeneca wins FDA approval for key new lung cancer pill,['FDA approval for key new lung cancer pill'],AstraZeneca,0.549,['Corporate/Regulatory'],headline,Positive
Glencore chief blames rivals' overproduction for share price fall,['share price fall'],Glencore,-0.301,['Stock/Price Action'],headline,Negative
Amazon to attack UK grocery market with Morrisons deal,['to attack UK grocery market'],Morrisons,0.333,['Market/Market/Market Outlook'],headline,Positive
"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",['held the trend lin'],NAVB,0.325,['Stock/Price Action'],post,Positive
"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",['Key price to watch'],NFLX,-0.341,['Stock/Technical Analysis'],post,Negative
$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,['at resistance right here...sold my shares'],AAPL,-0.238,['Stock/Price Action/Bearish/Bearish Behavior'],post,Neutral
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,['Delivers 2.9% Underlying Net Income Growth'],MillerCoors,0.495,['Stock/Fundamentals'],headline,Positive
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,['Teams With Daiichi Sankyo To Sell Movantik In US'],Daiichi Sankyo,0.364,['Corporate/Sales/Partnership'],headline,Positive
"European stocks hover near 3-week low, Dialog and BHP slump",['stocks hover near 3-week low'],Dialog,-0.584,['Stock/Price Action/Volume/Unusual Low Volume'],headline,Negative
BG Group Still Happy With Shell's $70 Billion Offer,['BG Group Still Happy With Shell's $70 Billion Offer'],Shell,0.235,['Corporate/M&A/Proposed Merger'],headline,Neutral
British American Tobacco drops and sues PwC over pollution scandal,['British American Tobacco drops'],PwC,-0.437,['Stock/Price Action/Bearish/Bearish Behaviour'],headline,Negative
BP joins forces with Det Norske in Norway,['BP joins forces with Det Norske in Norway'],Det Norske,0.248,['Corporate/Strategy/Company Agreement'],headline,Neutral
EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,['Finding Support Near 1.10 Level'],UUP,0.259,['Stock/Price Action'],post,Neutral
Severn Trent share price jumps as Canadian investor renews pursuit of utility,['share price jumps'],Severn Trent,0.433,['Stock/Price Action'],headline,Positive
Persimmon share price climbs on 23% rise in full-year revenue,['share price climbs on 23% rise'],Persimmon,0.975,['Stock/Price Action'],headline,Positive
$RIMM $spx $nya $compq $djia all going down,['all going down'],SPX,-0.559,['Stock/Price Action/Bearish'],post,Negative
NYSE owner ICE considers offer for LSE,['considers offer for'],LSE,0.396,['Corporate/Rumors/Scoop'],headline,Positive
CompaniesActelion shares hit record on Shire takeover talk,['Shire takeover talk'],Actelion,0.721,['Corporate/Rumors'],headline,Positive
Standard Chartered lags on capital worries,['lags on capital worries'],Standard Chartered,-0.358,['Corporate/Risks'],headline,Negative
3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,['reiterated a HOLD rating'],NTAP,0.214,['Stock/Coverage/AnalystRatings'],post,Neutral
Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,['Losing 10 week here'],LULU,0.006,['Stock/Price Action/Bearish'],post,Neutral
$FIO won't stay down,"[""won't stay down""]",FIO,0.376,['Stock/Price Action/Current Price/Oversold'],post,Positive
Shell challenges Exxon dominance with 47 billion-pound bid for BG,['challenges Exxon dominance with 47 billion-pound bid for BG'],Exxon,-0.196,['Corporate/Strategy/Corporate Expansion'],headline,Neutral
Glencore slumps 30 percent as debt fears grow,['debt fears grow'],Glencore,-0.781,['Corporate/Risks'],headline,Negative
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,['breaks another down trend and continues higher'],EXPE,0.536,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.","[""hought there'd be some support around the 50d, but I guess not.""]",FB,-0.334,['Stock/Price Action/Bearish'],post,Negative
$ENDP Was looking for a long entry but today's price action wasn't appealing,"[""oday's price action wasn't appealing""]",ENDP,0.034,['Stock/Price Action/Bearish/Bearish Behavior'],post,Neutral
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,['looks like it has found support'],NQ,-0.551,['Stock/Price Action'],post,Negative
Reed Elsevier share price slides on underwhelming full-year results,['share price slides'],Reed Elsevier,-0.526,['Stock/Price Action'],headline,Negative
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,['sells rare cancer drug to Sanofi'],Sanofi,0.258,['Corporate/Sales/Deal'],headline,Neutral
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,['Sales Up 18%'],Old Mutual,0.689,['Corporate/Sales'],headline,Positive
Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.,['Shorts continue to pile in.'],TSLA,-0.373,['Stock/Price Action/Volatility/Short Selling'],post,Negative
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,['owner ICE may gatecrash Deutsche Boerse-LSE merger'],LSE,-0.2,['Corporate/M&A/Proposed Merger'],headline,Neutral
Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN,['Receives New Rating'],ADBE,0.141,['Stock/Coverage/Credit Rating'],post,Neutral
"Tesco, Asda sales fall as march of the discounters continues-Kantar",['Asda sales fall as march of the discounters continues'],Asda,-0.356,['Corporate/Sales/Demand Shortfall'],headline,Negative
$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,['Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report.'],NFLX,0.577,['Stock/Price Action/Bullish'],post,Positive
$AAPL Dips being bought up real quick. Higher lows fo sho,['Dips being bought up real quick'],AAPL,0.249,['Stock/Price Action/Bullish/Bullish Behavior'],post,Neutral
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,['Fined $27 Million by U.K. Regulator Over Fee Failings'],Aviva,-0.675,['Corporate/Regulatory'],headline,Negative
$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,['Will be looking to add shares if we get a new high breakout.'],OCN,0.421,['Stock/Price Action/Bullish/Bull Position'],post,Positive
$aapl news is becoming very bullish again http://stks.co/tMU,['news is becoming very bullish again'],AAPL,0.526,['Stock/Price Action/Bullish'],post,Positive
$renn topping tail 5 min. chart at 7.31 short from here.,['short from here.'],RENN,-0.64,['Stock/Price Action/Bearish'],post,Negative
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,['Shares Plunge 7%'],Standard Chartered,-0.812,['Stock/Coverage'],headline,Negative
Long $ENDP @ $26.23 on $AGN b/o rumor,['Long'],ENDP,0.57,['Stock/Price Action/Bullish/Bull Position'],post,Positive
"Long Position on $IP,....Scaling UP http://stks.co/sIln",['Long Position'],IP,0.662,['Stock/Price Action/Bullish/Bull Position'],post,Positive
Petrofac books further ÃÂ£30m cost for Shetland gas terminal delays,['books further ÃÂ£30m cost for Shetland gas terminal delays'],Petrofac,-0.343,['Corporate/Risks'],headline,Negative
ITV share price: Group mulls takeover of Canada's Entertainment One,['Group mulls takeover of Canada's Entertainment One'],ITV,0.422,['Corporate/M&A/M&A'],headline,Positive
Sophos aims to raise $100m in London IPO,['raise $100m in London IPO'],Sophos,0.214,['Stock/IPO'],headline,Neutral
@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,['short into the next 30 days heading into earnings'],NFLX,-0.308,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,['This time I think $AAPL will miss again'],AAPL,-0.363,['Corporate/Financial/Financial Results/Earnings/Earnings miss'],post,Negative
That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,['200 day resistance still intact'],SDS,-0.39,['Stock/Technical Analysis'],post,Negative
Unilever profit rises despite sales slump in China,['despite sales slump'],Unilever,0.213,['Corporate/Sales'],headline,Neutral
FTSE edges up as investors cheer Kingfisher results,['as investors cheer Kingfisher results'],Kingfisher,0.678,['Stock/Price Action'],headline,Positive
@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,['had a big GROWING success for years'],AAPL,0.295,['Corporate/Reputation'],post,Neutral
"Ackman, in email, says supports Valeant CEO Pearson","['in email, says supports']",Valeant,0.166,['Corporate/Company Communication'],headline,Neutral
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",['steep global sales increase'],CAT,0.586,['Corporate/Sales'],post,Positive
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",['agree to pay $2 billion to settle forex .'],Citi,-0.647,['Corporate/Legal/Settlement'],headline,Negative
$TZOO a close above 28.64 and we are ready to rock and roll,['a close above 28.64 and we are ready to rock and roll'],TZOO,0.308,['Stock/Price Action/Bullish'],post,Positive
Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,['Baird Upgrades Tesla'],TSLA,0.52,['Stock/Coverage/AnalystRatings/Upgrade'],post,Positive
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI","['recalls 2,700 Model X SUVs']",TSLA,-0.307,['Corporate/Risks/Product Recall'],post,Negative
$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,['Announces Extension of Merger Agreements'],BXS,0.348,['Corporate/M&A/Proposed Merger'],post,Positive
Spain's CaixaBank Expects To Close Deal For Banco BPI,['Expects To Close Deal For'],CaixaBank,0.375,['Corporate/Sales/Deal'],headline,Positive
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,['Royal Dutch Shell to Buy BG Group for Nearly $70 Billion'],Royal Dutch Shell,0.259,['Corporate/M&A/M&A'],headline,Neutral
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,['Video-Streaming Ambitions'],Blinkbox,-0.195,['Corporate/Strategy'],headline,Neutral
HSBC Hit by Fresh Details of Tax Evasion Claims,['Tax Evasion Claims'],HSBC,-0.594,['Corporate/Legal'],headline,Negative
AB InBev approaches SABMiller to explore $250bn tie-up,['approaches SABMiller to explore $250bn tie-up'],SAB Miller,0.237,['Corporate/M&A/Proposed Merger'],headline,Neutral
Anheuser-Busch InBev Increases Offer for Rival SABMiller,['InBev Increases Offer for Rival SABMiller'],SABMiller,0.24,['Corporate/M&A/Proposed Merger'],headline,Neutral
$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,['short boat is getting full on this one'],IWM,-0.262,['Stock/Price Action/Bearish'],post,Neutral
$PLUG bear raid,['bear raid'],PLUG,-0.48,['Stock/Price Action/Bearish'],post,Negative
"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",['completes acquisition of'],ICOA,0.451,['Corporate/M&A/M&A'],post,Positive
Shire proposes $30 bln all-share tie-up with Baxalta,['proposes $30 bln all-share tie-up with'],Shire,0.22,['Corporate/M&A/Proposed Merger'],headline,Neutral
$AAPL price momentum weakening going into the close.,['price momentum weakening going into the close.'],AAPL,-0.22,['Stock/Price Action'],post,Neutral
Borealis Infrastructure putting together new Severn Trent bid,['putting together new Severn Trent bid'],Severn Trent,0.214,['Corporate/M&A/Proposed Merger'],headline,Neutral
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive","['Profit Up Strongly, Outlook Positive']",Persimmon,0.937,['Stock/Fundamentals'],headline,Positive
AstraZeneca sells US drug rights to Perrigo for $380 mln,['sells US drug rights to Perrigo for $380 mln'],Perrigo,0.326,['Corporate/M&A/M&A'],headline,Positive
This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,['options trade would have more than doubled your money'],BBBY,0.294,['Stock/Options'],post,Neutral
"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",['Red Daily Triangle'],SHOR,0.661,['Stock/Technical Analysis'],post,Positive
$AMCN pushing highs,['pushing highs'],AMCN,0.543,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$GOOGL is a short below 740 into the upper BB and is overbought,['is a short below 740 into the upper BB and is overbought'],GOOGL,-0.48,['Stock/Technical Analysis'],post,Negative
Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,['Held its recent double bottom buy point'],WMT,0.198,['Stock/Technical Analysis'],post,Neutral
"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",['Sandbagged the guidance'],GILD,-0.083,['Corporate/Financial/Financial Results/Earnings/Company Guidance'],post,Neutral
$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,['up pre mkt.'],MFLX,-0.412,['Stock/Price Action/Bullish/Bullish Behavior'],post,Negative
$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,['Looks like bear traps getting laid'],SPY,0.351,['Stock/Price Action/Bullish'],post,Positive
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,['Grows Efforts To Create Loyal Customers'],NFLX,0.225,['Corporate/Strategy'],post,Neutral
$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,['lets see one more dip to 2.0x'],HZNP,-0.274,['Stock/Price Action/Bearish/Bearish Behavior'],post,Neutral
RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,['Still not technically oversold so now big bounce yet'],MU,-0.046,['Stock/Technical Analysis'],post,Neutral
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,['David Nish quits as chief executive'],Standard Life,-0.09,['Corporate/Appointment'],headline,Neutral
Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,['Double bottom with handle buy point'],WMT,0.654,['Stock/Technical Analysis'],post,Positive
"Tesco, Asda sales fall as march of the discounters continues: Kantar",['sales fall as march of the discounters'],Tesco,-0.398,['Corporate/Sales'],headline,Negative
Piper upgrades Symantec on improving renewal rates and enterprise growth $SYMC,['Piper upgrades Symantec on improving renewal rates and enterprise growth'],SYMC,0.525,['Stock/Coverage/AnalystRatings/Upgrade'],post,Positive
"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",['China car sales +7.8%'],TSLA,0.225,['Corporate/Sales'],post,Neutral
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,['increase dividend pay-out'],Aviva,0.439,['Corporate/Dividend Policy'],headline,Positive
$FB popping up to HOD,['popping up to HOD'],FB,0.446,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
"$INTC & $AAPL strong, tech leads DOW higher","['strong, tech leads DOW higher']",INTC,0.588,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
BG Group appoints new CEO one month early,['appoints new CEO'],BG Group,0.069,['Corporate/Appointment'],headline,Neutral
Why $MCD looks set to fall further. http://stks.co/f2fgj,['looks set to fall further'],MCD,-0.545,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
$IWM same conditions that sent markets to tumble all hitting this week,['same conditions that sent markets to tumble all hitting this week'],IWM,-0.236,['Market/Conditions'],post,Neutral
"Britain's FTSE falls back with Ashtead, commodities under pressure","['FTSE falls back with Ashtead,']",Ashtead,-0.59,['Market/Volatility'],headline,Negative
"$CELG back near 104, where it opened and rallied higher last wk. A good place to take a shot https://t.co/zwHThSvFSF",['A good place to take a shot'],CELG,0.465,['Stock/Price Action/Bullish'],post,Positive
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,['Licensing Deal With Omnis Pharmaceuticals'],Omnis Pharmaceuticals,0.295,['Corporate/Sales/Deal'],headline,Neutral
$FB turns back down in early trading.... https://t.co/reuf5PzhBm,['turns back down in early trading'],FB,-0.393,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
"@TraceyRyniec not just energy, it's so broad. You will see it in WWG and Kaman as well. I'd be short $fast","[""I'd be short""]",FAST,-0.625,['Stock/Price Action/Bearish'],post,Negative
"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",['broke out now of his bull flag channel and make new highs'],DPZ,0.369,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$PRGN A bottom right here?,['A bottom right here?'],PRGN,0.041,['Stock/Price Action'],post,Neutral
$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,['Stock price implies you pay nothing for the business'],SKX,0.298,['Stock/Price Action/Bullish'],post,Neutral
$SBUX inverted head & shoulders pattern in the works. bullish.,['inverted head & shoulders pattern in the works'],SBUX,0.572,['Stock/Technical Analysis'],post,Positive
$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,['Clearing this descending trend line'],AAPL,0.529,['Stock/Technical Analysis'],post,Positive
"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",['4 period RSI is down at 20'],AMZN,0.221,['Stock/Technical Analysis'],post,Neutral
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,['Tagrisso Gets FDA Approval'],AstraZeneca,0.393,['Corporate/Appointment'],headline,Positive
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,['Rio Tinto Sink in Commodities Rout'],Rio Tinto,-0.665,['Stock/Price Action/Bearish/Bearish Behaviour'],headline,Negative
Intertek swings to ÃÂ£347 mln loss on oil's slump,['swings to ÃÂ£347 mln loss'],Intertek,-0.734,['Market/Volatility'],headline,Negative
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,['Quarterly Dividends'],Imperial Tobacco,0.336,['Corporate/Dividend Policy'],headline,Positive
$ISRG Break out confirmed. Bought Leaps. Good trading!,['Break out confirmed'],ISRG,0.36,['Stock/Technical Analysis/Breakout'],post,Positive
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",['Should You Buy....?'],Centrica PLC,0.1,['Corporate/Rumors/Scoop'],headline,Neutral
"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",['letting the RSI take a breather.'],TSLA,0.362,['Stock/Technical Analysis'],post,Positive
